id,day,brand_id,brand_code,brand_name,brand_voice,brand_color,platform,slot_utc,char_limit,content_type,template_id,template_name,template_slot,body_template,suggested_hashtags,status,notes
23,1,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Threads,16:00 UTC,500,"conversational, question-led",T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
24,1,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Threads,16:00 UTC,500,"conversational, question-led",T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
25,1,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Threads,16:00 UTC,500,"conversational, question-led",T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
26,2,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,X,08:00 UTC,280,short text + 2 hashtags,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
27,2,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,X,08:00 UTC,280,short text + 2 hashtags,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
28,2,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,X,08:00 UTC,280,short text + 2 hashtags,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
29,2,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,X,08:00 UTC,280,short text + 2 hashtags,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
30,2,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,X,08:00 UTC,280,short text + 2 hashtags,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
31,2,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
32,2,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
33,2,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
34,2,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
35,2,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
36,2,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Mastodon,09:00 UTC,500,short text + open tag,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
37,2,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Mastodon,09:00 UTC,500,short text + open tag,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
38,2,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Mastodon,09:00 UTC,500,short text + open tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
39,2,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Mastodon,09:00 UTC,500,short text + open tag,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
40,2,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Mastodon,09:00 UTC,500,short text + open tag,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
41,2,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Bluesky,10:00 UTC,300,short text + custom feed tag,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
42,2,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Bluesky,10:00 UTC,300,short text + custom feed tag,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
43,2,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Bluesky,10:00 UTC,300,short text + custom feed tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
44,2,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Bluesky,10:00 UTC,300,short text + custom feed tag,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
45,2,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Bluesky,10:00 UTC,300,short text + custom feed tag,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
46,2,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Threads,16:00 UTC,500,"conversational, question-led",T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
47,2,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Threads,16:00 UTC,500,"conversational, question-led",T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
48,2,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Threads,16:00 UTC,500,"conversational, question-led",T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
49,2,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Threads,16:00 UTC,500,"conversational, question-led",T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
50,2,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Threads,16:00 UTC,500,"conversational, question-led",T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
51,3,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,X,08:00 UTC,280,short text + 2 hashtags,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
52,3,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,X,08:00 UTC,280,short text + 2 hashtags,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
53,3,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,X,08:00 UTC,280,short text + 2 hashtags,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
54,3,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,X,08:00 UTC,280,short text + 2 hashtags,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
55,3,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,X,08:00 UTC,280,short text + 2 hashtags,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
56,3,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
57,3,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
58,3,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
59,3,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
60,3,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
61,3,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Mastodon,09:00 UTC,500,short text + open tag,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
62,3,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Mastodon,09:00 UTC,500,short text + open tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
63,3,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Mastodon,09:00 UTC,500,short text + open tag,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
64,3,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Mastodon,09:00 UTC,500,short text + open tag,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
65,3,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Mastodon,09:00 UTC,500,short text + open tag,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
66,3,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Bluesky,10:00 UTC,300,short text + custom feed tag,T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
67,3,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Bluesky,10:00 UTC,300,short text + custom feed tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
68,3,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Bluesky,10:00 UTC,300,short text + custom feed tag,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
69,3,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Bluesky,10:00 UTC,300,short text + custom feed tag,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
70,3,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Bluesky,10:00 UTC,300,short text + custom feed tag,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
71,3,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Threads,16:00 UTC,500,"conversational, question-led",T4,Caribbean-context,Region,Caribbean lens ({jurisdiction}): {regional_observation} — {brand_voice} framing. #CaribbeanAI,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
72,3,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Threads,16:00 UTC,500,"conversational, question-led",T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
73,3,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Threads,16:00 UTC,500,"conversational, question-led",T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
74,3,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Threads,16:00 UTC,500,"conversational, question-led",T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
75,3,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Threads,16:00 UTC,500,"conversational, question-led",T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
76,4,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,X,08:00 UTC,280,short text + 2 hashtags,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
77,4,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,X,08:00 UTC,280,short text + 2 hashtags,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
78,4,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,X,08:00 UTC,280,short text + 2 hashtags,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
79,4,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,X,08:00 UTC,280,short text + 2 hashtags,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
80,4,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,X,08:00 UTC,280,short text + 2 hashtags,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
81,4,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
82,4,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
83,4,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
84,4,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
85,4,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,LinkedIn,14:00 UTC,3000,4-6 sentence long-form,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
86,4,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Mastodon,09:00 UTC,500,short text + open tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
87,4,2,quill,Quill,"gravitas, editorial craft, serious publication",ivory/ink-red,Mastodon,09:00 UTC,500,short text + open tag,T6,Call-to-action,Pilot/CTA,Pilot slot open: {ask} — {brand_voice} voice. Reply or DM. #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
88,4,3,monolith,Monolith,"clarity, terminal aesthetics, no-nonsense shipping",black/signal-yellow,Mastodon,09:00 UTC,500,short text + open tag,T1,Problem-stat,POV,{brand_voice} framing: {problem_statement} · #FutureCaribbean #BuildInPublic,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
89,4,4,canopy,Canopy,"cultural rootedness, sustainability, climate-resilience",forest/parrot,Mastodon,09:00 UTC,500,short text + open tag,T2,Build-in-public,Daily ship,Day {day}/{total_days}: {shipped_today} — {brand_voice} cut. #BuildInPublic #FreeLeased,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
90,4,5,coral,Coral,"approachability, resident-led design, plain-language UX",coral/sand/lagoon,Mastodon,09:00 UTC,500,short text + open tag,T3,Stat-callout,Numbers,{brand_voice} number drop: {stat} · {stat_context} #FutureCaribbean,#BuildInPublic #FutureCaribbean #FreeLeased,draft,
91,4,1,veridian,Veridian,"trust, restraint, regional rootedness",peacock dark,Bluesky,10:00 UTC,300,short text + custom feed tag,T5,Honest-disclosure,Discipline,"{brand_voice} honesty: {disclosure} — no overclaim, no hype. #ResponsibleAI",#BuildInPublic #FutureCaribbean #FreeLeased,draft,
